Radius;Image138;Image139;Image140;Image141;Image142;Image143;Image144;Image145;Image146;Image147;Image148;Image149;Image150;Image151;Image152;Image153;Imag154;Image155;Image156;Image157;Image158;Image159;Image160;Image161
10;3;1;3;4;3;5;11;4;6;7;1;1;8;6;6;1;1;1;9;7;5;9;9;3
11;1;2;6;6;10;8;10;12;10;5;1;1;11;12;6;1;4;1;9;7;8;9;9;9
12;1;5;7;5;8;12;10;16;12;8;1;1;10;10;8;2;6;1;13;6;6;9;9;8
13;3;10;6;6;6;12;10;12;7;7;1;1;14;10;8;2;10;1;15;7;7;11;10;10
14;3;9;8;5;4;9;12;10;6;12;1;2;11;12;7;3;8;1;11;9;4;12;12;6
15;3;11;7;5;11;7;11;14;3;15;2;3;15;9;8;5;8;1;9;8;6;13;13;10
16;6;12;5;4;9;5;11;14;10;19;6;3;11;9;7;4;6;1;15;8;7;8;13;8
17;7;11;6;5;13;6;13;16;11;22;3;3;10;12;10;4;14;1;14;9;5;11;13;14
18;8;15;8;7;11;10;10;23;12;24;4;8;11;14;8;7;8;1;14;11;8;11;9;12
19;12;14;6;4;14;9;10;19;16;27;9;10;10;19;10;4;9;1;10;11;9;11;7;10
20;11;15;8;5;11;11;8;20;17;21;11;8;16;16;12;3;7;8;13;8;14;9;8;11
21;11;14;11;5;12;15;11;17;23;19;17;14;17;23;12;7;5;6;12;13;9;9;9;13
22;12;18;7;5;12;13;11;15;18;24;17;12;11;16;13;9;9;8;11;6;6;8;8;10
23;13;13;10;5;12;13;8;13;15;22;15;13;12;16;13;11;8;16;10;7;12;11;7;13
24;12;14;12;5;14;13;11;13;19;25;12;12;13;11;14;9;11;10;7;11;9;7;7;14
25;17;11;8;5;6;15;8;9;14;21;19;12;8;19;16;13;18;13;7;10;9;8;8;9
26;11;9;8;6;5;14;8;11;14;25;18;13;11;17;15;15;15;14;6;11;10;10;9;8
27;16;13;11;6;5;19;7;11;12;22;21;12;10;16;18;20;15;10;8;12;9;6;8;13
28;15;13;11;5;9;10;7;11;16;33;24;9;8;21;19;20;15;18;7;10;7;8;9;14
29;17;9;10;5;8;12;6;7;18;24;17;7;8;19;15;21;25;20;7;9;9;14;9;22
30;14;15;5;5;14;12;8;6;16;23;18;12;12;18;14;20;24;20;8;8;10;15;8;17
31;15;13;9;6;14;11;7;4;17;22;26;13;10;20;11;13;30;23;9;7;11;8;16;21
32;10;11;9;6;8;7;9;5;18;18;27;9;13;19;14;18;29;22;7;11;13;12;11;20
33;10;13;7;6;13;6;7;4;11;20;29;9;10;17;12;18;27;25;10;9;14;12;7;11
34;7;13;9;6;16;5;7;3;12;25;20;11;7;20;12;18;28;22;7;10;19;15;7;12
35;11;14;4;8;13;6;12;2;12;29;17;17;10;22;10;15;24;34;9;6;18;15;6;10
36;8;13;5;9;10;5;8;2;8;18;15;15;15;23;19;21;22;26;9;8;22;16;8;10
37;10;13;4;11;6;6;9;2;12;16;16;16;13;19;12;16;13;28;11;9;22;16;7;8
38;13;13;5;8;3;7;9;2;8;12;14;17;14;17;9;17;17;30;7;13;18;13;10;8
39;11;12;9;5;5;7;7;3;9;16;20;16;17;17;11;19;14;27;11;11;17;10;8;6
40;9;16;6;5;6;6;5;2;7;15;14;15;15;14;10;24;9;27;10;10;16;10;8;5
41;9;13;7;5;4;7;5;4;3;15;13;12;16;11;14;25;8;25;7;9;14;11;8;8
42;9;17;11;4;6;5;10;3;2;16;11;18;8;10;10;20;8;21;11;11;12;11;13;9
43;8;16;6;4;2;4;8;3;1;14;11;17;7;11;14;19;8;22;9;14;17;15;11;7
44;7;18;8;4;3;4;9;3;1;7;15;24;5;8;9;16;10;26;8;11;13;13;10;5
45;8;15;8;4;4;5;9;3;1;12;13;19;8;8;8;21;11;29;9;13;18;10;9;6
46;9;17;8;4;3;6;10;3;1;10;13;16;14;10;10;19;14;24;9;10;18;12;9;5
47;8;14;10;4;2;6;14;2;2;6;13;20;15;9;6;17;13;27;11;9;15;10;11;6
48;9;12;9;4;4;5;10;2;1;4;11;15;10;11;5;9;14;18;13;13;13;10;17;5
49;10;15;9;4;4;6;4;2;1;6;18;13;8;9;4;12;18;19;9;10;7;9;11;3
50;8;15;9;7;5;7;4;2;2;7;18;12;9;8;4;8;15;25;13;16;7;12;12;6
51;10;11;5;4;7;5;4;3;1;7;12;10;8;7;3;12;17;17;13;12;5;8;10;2
52;11;7;5;4;7;4;6;2;2;7;9;7;11;7;8;8;15;21;13;11;5;9;24;2
53;11;8;10;4;6;7;5;2;3;7;7;12;5;6;4;7;14;16;13;14;9;12;18;3
54;10;9;7;4;5;6;5;2;1;7;6;6;4;4;6;9;14;18;11;7;9;11;17;4
55;9;8;11;3;4;6;4;2;3;9;11;10;5;3;7;9;13;25;14;8;10;12;16;1
56;8;6;7;3;2;6;3;2;2;7;6;7;7;3;9;7;11;23;15;14;8;12;11;1
57;8;4;10;3;1;7;4;2;1;7;6;6;4;4;5;6;9;21;12;14;9;10;13;2
58;9;4;4;3;1;6;3;1;1;7;5;2;6;4;3;5;7;18;12;11;9;12;13;4
59;8;1;4;3;2;8;5;1;0;4;4;2;7;2;3;3;7;23;15;12;6;10;14;1
60;9;2;4;3;3;4;3;1;0;6;4;4;6;3;3;0;6;19;12;22;6;8;14;0
61;5;2;4;4;1;2;3;1;0;5;5;4;8;2;2;0;5;19;14;14;6;12;12;0
62;6;1;3;4;0;2;3;3;0;7;4;4;4;2;2;0;6;14;14;15;5;10;8;0
63;7;1;2;4;0;2;3;0;0;4;3;5;6;2;1;0;6;17;18;19;5;12;10;0
64;5;1;5;5;0;2;3;0;0;5;1;5;4;4;1;0;5;16;16;13;2;16;10;0
65;10;1;4;4;0;2;4;0;0;3;0;7;3;2;1;0;5;14;16;10;2;10;14;0
66;12;1;4;8;0;2;1;0;0;4;0;7;3;4;1;0;5;17;16;8;2;3;7;0
67;12;1;2;6;0;2;2;0;0;5;0;4;2;2;1;0;5;19;10;11;2;4;11;0
68;6;0;4;6;0;2;3;0;0;2;0;7;3;2;1;0;3;24;7;8;2;6;17;0
69;5;0;1;5;0;2;5;0;0;3;0;5;2;3;1;0;2;20;9;4;3;7;11;0
70;6;0;1;5;0;3;5;0;0;3;0;7;4;1;1;0;1;11;7;4;3;8;15;0
71;5;0;1;6;0;2;3;0;0;3;0;1;1;1;2;0;1;8;5;4;3;6;14;0
72;6;0;1;4;0;3;2;0;0;3;0;0;1;1;1;0;0;8;9;2;2;7;12;0
73;6;0;1;5;0;2;2;0;0;1;0;0;1;1;1;0;1;7;10;6;2;5;13;0
74;7;0;4;6;0;3;2;0;0;1;0;0;1;1;1;0;1;7;10;3;2;8;20;0
75;5;0;0;5;0;3;2;0;0;3;0;0;1;1;1;0;1;6;8;2;2;5;15;0
76;5;0;0;3;0;1;2;0;0;2;0;0;1;1;0;0;0;9;12;2;2;3;8;0
77;4;0;0;3;0;1;2;0;0;2;0;0;2;1;0;0;0;9;8;2;2;5;8;0
78;4;0;0;2;0;1;1;0;0;1;0;0;2;1;0;0;0;8;14;3;2;4;8;0
79;4;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;6;9;3;2;4;10;0
80;4;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;8;10;4;2;5;6;0
81;4;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;10;10;7;2;4;6;0
82;4;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;9;7;2;2;2;7;0
83;5;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;10;7;1;2;1;7;0
84;3;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;7;9;1;2;1;6;0
85;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;9;9;2;2;1;6;0
86;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;8;9;3;3;1;5;0
87;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6;4;1;2;1;4;0
88;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;8;2;2;1;5;0
89;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;9;6;1;2;1;3;0
90;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;8;7;0;3;1;6;0
91;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;11;7;1;3;1;5;0
92;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;9;9;2;2;1;5;0
93;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;7;9;2;1;1;5;0
94;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;5;9;1;1;1;4;0
95;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;8;1;1;3;3;0
96;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;5;8;1;1;1;3;0
97;2;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;5;7;1;1;2;3;0
98;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;5;7;1;1;2;3;0
99;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;11;5;0;1;1;3;0
100;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;10;7;0;1;1;1;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;6;0;1;2;1;0
102;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;10;0;1;1;1;0
103;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;6;0;1;1;1;0
104;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;1;1;0;0
105;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;1;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;0
107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0
108;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0
109;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
110;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
111;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;0;0
113;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0
114;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;1;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;1;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;1;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
143;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
148;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
150;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
